Area,Value_T,Value_Y,continent,dummy_temp,above_median,Value_T_2,Value_Prec_Anom
Afghanistan,1.051,29.89157241704697,Asia,0,0,1.104601,-0.44593589743589784
Albania,1.8876666666666664,289.795902863081,Europe,0,0,3.5632854444444435,6.690948717948714
Algeria,1.8486666666666667,378.6096869333044,Africa,0,0,3.4175684444444445,0.09115384615384636
Austria,2.391666666666667,40.04227093238806,Europe,1,1,5.720069444444446,13.879115384615389
Bangladesh,1.2443333333333333,115.04275252550443,Asia,0,0,1.5483654444444443,-35.9005
Belgium-Luxembourg,2.3196666666666665,11.795489777370868,Europe,1,1,5.380853444444444,-16.40487179487179
Bhutan,1.3273333333333335,62.148479016145366,Asia,0,0,1.7618137777777783,-24.88861538461534
Bulgaria,1.9376666666666669,76.80992152834871,Europe,0,0,3.7545521111111118,0.6446153846153848
Canada,0.86,77.83873220652028,North America,0,0,0.7395999999999999,-2.2027564102564128
Chad,1.0010000000000001,98.92322384048438,Africa,0,0,1.0020010000000001,6.171346153846152
China,1.2126666666666666,78.968479139229,Asia,0,0,1.4705604444444442,5.438923076923085
Cuba,1.3960000000000001,66.146359791895,North America,0,0,1.9488160000000003,15.045692307692292
Cyprus,2.1813333333333333,-0.45591751289031657,Asia,1,1,4.758215111111111,0.8247179487179489
Czechoslovakia,2.406333333333333,69.78308007350572,Europe,1,1,5.79044011111111,0.4119743589743621
Denmark,1.9596666666666664,73.30257907910848,Europe,0,0,3.8402934444444434,-5.275089743589743
Dominican Republic,1.3856666666666666,263.3357958175605,North America,0,0,1.920072111111111,-26.06921794871793
Egypt,1.8840000000000001,61.192529645721415,Africa,0,0,3.5494560000000006,0.007935897435897435
El Salvador,1.2990000000000002,88.49035194023433,North America,0,0,1.6874010000000004,-22.560730769230798
Ethiopia PDR,1.1316666666666666,64.93663078075132,Africa,0,0,1.2806694444444442,13.106051282051283
Faroe Islands,0.6569999999999999,7.781478876284025,Europe,0,0,0.4316489999999999,-18.47664102564103
Finland,1.6460000000000001,86.49701766397223,Europe,0,0,2.7093160000000003,-2.1882435897435926
France,2.43,70.2633610638505,Europe,1,1,5.9049000000000005,-11.22965384615384
French Polynesia,0.7336666666666666,-4.368421052631586,Oceania,0,0,0.5382667777777776,-18.780358974358965
Germany,2.28,86.7444053815792,Europe,1,1,5.1983999999999995,-13.095897435897436
Greece,1.6766666666666667,101.68063377484799,Europe,0,0,2.8112111111111115,9.088064102564102
Haiti,1.405,-13.476045694724577,North America,0,0,1.9740250000000001,1.5686923076923165
Honduras,1.476,95.93896100910516,North America,0,0,2.178576,-16.35100000000001
Hungary,2.173,102.46933030920025,Europe,1,1,4.721929,5.1688461538461565
Iceland,0.8376666666666667,59.8741215155543,Europe,0,0,0.7016854444444445,13.607269230769242
India,0.7346666666666666,121.23103793273432,Asia,0,0,0.5397351111111109,14.737448717948723
Indonesia,1.0726666666666667,141.8865128217707,Asia,0,0,1.1506137777777778,-1.0044102564102388
Iran (Islamic Republic of),1.867,174.7789677362632,Asia,0,0,3.485689,-0.06114102564102571
Iraq,2.2373333333333334,126.45505405242045,Asia,1,1,5.005660444444445,0.7131282051282053
Ireland,1.0956666666666666,52.95077115031211,Europe,0,0,1.2004854444444442,1.8445000000000036
Israel,1.9793333333333336,18.204916970506034,Asia,0,0,3.9177604444444456,0.27280769230769236
Italy,2.058,84.58813673023437,Europe,1,1,4.235364,1.4328846153846204
Japan,1.1346666666666667,28.417576400619605,Asia,0,0,1.2874684444444446,23.320397435897434
Jordan,2.0033333333333334,205.6995650909294,Asia,1,1,4.013344444444445,0.48388461538461547
Kenya,1.3376666666666666,40.812283893968825,Africa,0,0,1.7893521111111108,12.08608974358974
Lao People's Democratic Republic,1.4716666666666667,350.4101986389623,Asia,0,0,2.165802777777778,-27.558333333333337
Lebanon,2.1383333333333336,125.54882546205617,Asia,1,1,4.572469444444446,1.8221282051282053
Libya,1.727,241.88917217647176,Africa,0,0,2.9825290000000004,0.057410256410256544
Malta,1.861,60.65578687612502,Europe,0,0,3.463321,-0.1716025641025635
Mauritania,1.6689999999999998,-42.952206273880606,Africa,0,0,2.7855609999999995,1.757628205128204
Mauritius,1.2186666666666666,34.42331207029368,Africa,0,0,1.4851484444444443,-30.70852564102565
Mexico,1.4283333333333335,164.03806600404553,North America,0,0,2.0401361111111114,-10.234141025641023
Mongolia,1.6296666666666668,73.05943899860466,Asia,0,0,2.655813444444445,5.032653846153842
Morocco,1.765,146.02868297191677,Africa,0,0,3.1152249999999997,1.6347564102564103
Myanmar,1.3693333333333333,194.4353572311466,Asia,0,0,1.8750737777777777,-13.268846153846198
Nepal,0.8083333333333332,191.71661091562507,Asia,0,0,0.6534027777777777,-11.093358974358997
Netherlands (Kingdom of the),2.156,16.273916856248466,Europe,1,1,4.6483360000000005,-12.271487179487181
Nicaragua,1.4473333333333336,355.47653578701124,North America,0,0,2.0947737777777786,-10.635858974358987
Norway,1.3786666666666667,24.291356790975726,Europe,0,0,1.9007217777777778,6.677538461538461
Pakistan,0.8646666666666668,130.19539537050085,Asia,0,0,0.7476484444444447,-0.8430512820512822
Philippines,1.4893333333333334,125.69299495688074,Asia,0,0,2.218113777777778,-0.5014871794871377
Poland,2.1453333333333333,58.003023766187475,Europe,1,1,4.602455111111111,-4.166474358974362
Portugal,1.6896666666666667,143.01562141967156,Europe,0,0,2.8549734444444446,-8.755525641025642
Republic of Korea,1.2923333333333333,136.08653397491315,Asia,0,0,1.6701254444444444,14.908756410256387
Romania,2.058333333333333,25.51037084940978,Europe,1,1,4.23673611111111,-3.9608589743589824
Senegal,1.2366666666666666,206.90904573083748,Africa,0,0,1.5293444444444442,1.0740641025640987
Spain,1.9203333333333334,130.22404432457716,Europe,0,0,3.6876801111111117,-2.194256410256415
Sri Lanka,1.0726666666666667,101.92606785591181,Asia,0,0,1.1506137777777778,22.540884615384616
Sweden,1.7086666666666668,40.17336535536543,Europe,0,0,2.9195417777777783,-3.1057435897435917
Switzerland,2.4433333333333334,18.734602730680074,Europe,1,1,5.969877777777778,-18.263974358974362
Syrian Arab Republic,2.107666666666667,81.0610004138614,Asia,1,1,4.442258777777778,1.7779999999999998
Thailand,1.2266666666666668,128.6161037741382,Asia,0,0,1.5047111111111113,-17.1539871794872
Tunisia,2.0516666666666663,83.05685318334433,Africa,1,1,4.20933611111111,2.1209487179487176
Turkey,1.994,149.48490496283796,,0,0,3.976036,4.895743589743592
USSR,1.4533333333333334,52.02046031433854,Europe,0,0,2.1121777777777777,-0.5552435897435899
United Kingdom of Great Britain and Northern Ireland,1.2256666666666665,29.88127395133151,Europe,0,0,1.5022587777777772,2.4866794871794915
United States of America,1.204,83.54610353930443,North America,0,0,1.4496159999999998,3.523064102564097
Venezuela (Bolivarian Republic of),1.2396666666666667,90.44790179408612,South America,0,0,1.5367734444444445,5.539487179487177
Viet Nam,1.3556666666666668,29.530851150209187,Asia,0,0,1.8378321111111116,-11.878153846153841
Yugoslav SFR,1.985,85.17928427791118,Europe,0,0,3.9402250000000003,10.426628205128202
Angola,1.302,8.666487633415493,Africa,0,0,1.6952040000000002,3.9112692307692214
Argentina,1.1563333333333332,159.83058381345822,South America,0,0,1.3371067777777774,-3.9165641025641
Australia,1.6446666666666667,88.43463650348062,Oceania,0,0,2.7049284444444446,-6.3786923076923046
Bolivia (Plurinational State of),1.0753333333333333,21.61565071332305,South America,0,0,1.1563417777777776,-4.483512820512819
Brazil,1.236,261.3329242102993,South America,0,0,1.527696,-2.191692307692307
Chile,0.8886666666666666,187.6927530748675,South America,0,0,0.7897284444444443,-8.336
Colombia,1.332,91.34506771744574,South America,0,0,1.7742240000000002,-14.324179487179473
Democratic Republic of the Congo,1.4666666666666668,-12.730279205870149,Africa,0,0,2.1511111111111116,5.706115384615383
Ecuador,1.2096666666666667,28.711189145342846,South America,0,0,1.4632934444444445,1.6876410256410186
Lesotho,1.1286666666666667,31.900298813517793,Africa,0,0,1.2738884444444445,-1.82376923076923
Mozambique,0.9886666666666667,101.60078294346467,Africa,0,0,0.9774617777777779,8.367717948717948
New Caledonia,1.515,10.951044783957778,Oceania,0,0,2.295225,-12.574448717948721
New Zealand,1.1706666666666667,80.93981308501037,Oceania,0,0,1.3704604444444446,5.525153846153842
Paraguay,1.0276666666666667,124.66453198582856,South America,0,0,1.056098777777778,-6.0670769230769155
Peru,1.047,146.71840740309392,South America,0,0,1.0962089999999998,0.1099743589743601
South Africa,1.1716666666666666,157.41262236368726,Africa,0,0,1.3728027777777776,-3.8389615384615325
Uganda,1.2386666666666668,-23.771186696571288,Africa,0,0,1.5342951111111114,13.28353846153846
United Republic of Tanzania,1.1126666666666667,168.0705839575351,Africa,0,0,1.2380271111111112,18.33823076923079
Uruguay,1.1523333333333334,300.89422598247654,South America,0,0,1.3278721111111114,-12.190807692307686
